company_id,growth_score,growth_grade,growth_rank,growth_percentile,financial_score,patent_score,employment_score,news_event_score,industry_score,industry_rank,industry_percentile,model_version,calculated_at,financial_data_available,patent_data_available,employment_data_available,news_event_data_available,industry_data_available,coverage_score
78,77.0,S,13,95.7,55.9,80.9,69.3,73.8,47.5,4,92.0,v1.0,2026-09-02,1,1,1,1,1,0.947
101,56.2,B,101,66.3,44.7,71.8,27.1,87.6,47.5,17,66.0,v1.0,2026-09-02,1,1,1,1,1,1.0
102,66.4,A,43,85.7,52.1,81.8,56.0,58.7,47.5,8,84.0,v1.0,2026-09-02,1,1,1,1,1,1.0
103,39.7,C,220,26.7,26.9,30.5,81.1,45.0,47.5,36,28.0,v1.0,2026-09-02,1,1,1,1,1,0.92
104,35.0,C,241,19.7,69.4,28.0,7.7,43.6,47.5,40,20.0,v1.0,2026-09-02,1,1,1,1,1,0.987
105,17.1,D,292,2.7,29.3,20.2,23.6,47.0,47.5,48,4.0,v1.0,2026-09-02,1,1,1,1,1,0.987
106,43.1,C,199,33.7,65.7,50.0,22.0,32.7,47.5,33,34.0,v1.0,2026-09-02,1,1,1,1,1,0.933
107,54.8,B,110,63.3,65.1,19.0,72.5,51.4,47.5,18,64.0,v1.0,2026-09-02,1,1,1,1,1,0.973
108,48.8,B,154,48.7,42.1,64.9,43.3,52.9,47.5,23,54.0,v1.0,2026-09-02,1,1,1,1,1,0.973
109,89.5,S,2,99.3,68.9,86.4,78.1,74.9,47.5,1,98.0,v1.0,2026-09-02,1,1,1,1,1,0.947
110,30.3,D,259,13.7,40.4,16.5,44.7,50.5,47.5,42,16.0,v1.0,2026-09-02,1,1,1,1,1,0.987
111,48.1,B,160,46.7,42.8,55.9,70.1,25.1,47.5,24,52.0,v1.0,2026-09-02,1,1,1,1,1,0.92
112,76.3,S,16,94.7,69.8,63.3,62.3,76.2,47.5,5,90.0,v1.0,2026-09-02,1,1,1,1,1,0.973
113,51.5,B,141,53.0,35.3,64.5,51.8,65.6,47.5,22,56.0,v1.0,2026-09-02,1,1,1,1,1,0.96
114,53.2,B,124,58.7,46.8,40.0,58.0,73.4,47.5,19,62.0,v1.0,2026-09-02,1,1,1,1,1,0.92
115,46.8,B,168,44.0,53.2,73.0,16.6,,47.5,27,46.0,v1.0,2026-09-02,1,1,1,0,1,0.973
116,30.2,D,260,13.3,28.6,20.2,66.4,39.7,47.5,43,14.0,v1.0,2026-09-02,1,1,1,1,1,0.947
117,62.0,A,62,79.3,46.0,64.4,47.8,88.6,47.5,12,76.0,v1.0,2026-09-02,1,1,1,1,1,0.933
118,15.2,D,296,1.3,21.2,20.2,44.9,27.7,47.5,49,2.0,v1.0,2026-09-02,1,1,1,1,1,0.92
119,38.0,C,227,24.3,,72.9,1.6,55.3,47.5,37,26.0,v1.0,2026-09-02,1,1,1,1,1,0.84
120,10.8,D,299,0.3,36.2,28.9,1.0,,47.5,50,0.0,v1.0,2026-09-02,1,1,1,0,1,0.973
121,25.1,D,271,9.7,50.7,16.5,27.2,34.0,47.5,45,10.0,v1.0,2026-09-02,1,1,1,1,1,0.947
122,44.1,C,189,37.0,38.1,68.6,34.8,50.0,47.5,32,36.0,v1.0,2026-09-02,1,1,1,1,1,0.973
123,32.2,C,251,16.3,21.1,32.9,52.6,63.6,47.5,41,18.0,v1.0,2026-09-02,1,1,1,1,1,1.0
124,44.6,C,185,38.3,49.4,20.2,69.8,,47.5,31,38.0,v1.0,2026-09-02,1,1,1,0,1,0.973
125,47.0,B,166,44.7,60.0,31.4,25.3,79.2,47.5,26,48.0,v1.0,2026-09-02,1,1,1,1,1,0.867
126,82.7,S,6,98.0,76.2,82.4,84.3,32.4,47.5,3,94.0,v1.0,2026-09-02,1,1,1,1,1,0.907
127,63.2,A,53,82.3,68.5,52.8,67.1,38.2,47.5,10,80.0,v1.0,2026-09-02,1,1,1,1,1,0.973
128,82.8,S,5,98.3,57.4,82.0,86.1,,47.5,2,96.0,v1.0,2026-09-02,1,1,1,0,1,0.973
129,28.5,D,264,12.0,27.1,43.4,31.7,51.9,47.5,44,12.0,v1.0,2026-09-02,1,1,1,1,1,0.973
130,58.8,A,82,72.7,64.1,82.7,18.7,,47.5,14,72.0,v1.0,2026-09-02,1,1,1,0,1,0.973
131,46.1,B,175,41.7,,20.2,75.7,,47.5,28,44.0,v1.0,2026-09-02,0,1,1,0,1,0.8
132,35.3,C,237,21.0,34.8,39.8,60.8,27.7,47.5,39,22.0,v1.0,2026-09-02,1,1,1,1,1,0.973
133,41.7,C,207,31.0,48.3,39.8,44.9,,47.5,34,32.0,v1.0,2026-09-02,1,1,1,0,1,0.92
134,62.3,A,58,80.7,63.1,67.1,59.7,36.0,47.5,11,78.0,v1.0,2026-09-02,1,1,1,1,1,0.947
135,64.3,A,48,84.0,65.2,53.0,59.8,,47.5,9,82.0,v1.0,2026-09-02,1,1,1,0,1,0.947
136,45.0,C,183,39.0,47.7,34.6,68.5,34.4,47.5,30,40.0,v1.0,2026-09-02,1,1,1,1,1,0.947
138,46.0,B,176,41.3,68.1,30.1,50.3,27.7,47.5,29,42.0,v1.0,2026-09-02,1,1,1,1,1,0.973
139,52.9,B,127,57.7,80.6,27.6,35.2,,47.5,21,58.0,v1.0,2026-09-02,1,1,1,0,1,0.92
