company_id,venture_list_seq,company_name,corp_type,ceo_name_masked,venture_type,venture_renewal,venture_confirm_date,venture_expire_date,region,macro_region,district,address,industry_class_kibo,ksic_name,main_product,industry,sub_industry,industry_fit,industry_basis,listed_status,name_uniqueness,growth_stage_proxy,cov_invest_prior,cov_rnd_patent_prior,selection_grade,exclusion_reason,founded_year,company_age,employee_count_nps,revenue_latest,funding_stage,cov_financial,cov_nps,cov_kipris,cov_invest,cov_news,coverage_count,consecutive_3y_area_count,id_key_business_number,selection_status,nps_match_status,nps_workplace_name,nps_branch_count,nps_employee_count_all_branches,business_number6,nps_corp_type,nps_registration_status,nps_industry,nps_start_date,nps_end_date,nps_employee_count,nps_monthly_premium,nps_new_hires,nps_leavers,nps_est_avg_monthly_wage,company_age_nps,nps_continuous_in_window,nps_verdict,business_number,corporation_number,founded_date,age_basis,company_age_final,age_4_12_verdict
78,9550,주식회사 지티에스앤,주식회사,방**,연구개발유형,재확인,2024-07-01,2027-06-30,인천,수도권,부평구,인천광역시 부평구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,스크린골프 소프트웨어 개발 및 공급,ICT·AI·SW,시스템SW·인프라,핵심,업종직접,비상장,A(고유),R&D 중심(추정),미확인,확실(기업부설연구소·R&D비 요건),1(핵심·재확인),,2015.0,10.4,,,,,,,,,,,,최종(확정),확정(상호+시군구),주식회사지티에스앤,0.0,46.0,559870,법인,등록,응용 소프트웨어 개발 및 공급업,2015-06-10,,46.0,16466660.0,2.0,0.0,398.0,10.2,True,통과,5598700046,1341110409503.0,20150420.0,DART 설립일,10.4,통과
101,13982,주식회사 누비랩,주식회사,김**,벤처투자유형,재확인,2024-08-09,2027-08-08,인천,수도권,서구,인천광역시 서구,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 빅데이터 솔루션,ICT·AI·SW,AI·데이터,핵심,업종직접,비상장,A(고유),투자유치 후 성장(추정),확실(VC 등 5천만원↑ 투자 요건),미확인,1(핵심·재확인),,,,,,,,,,,,,,,최종(확정),확정(상호+시군구),주식회사누비랩,1.0,41.0,160880,법인,등록,기타 인문 및 사회과학 연구개발업,2019-06-25,,36.0,15049960.0,3.0,1.0,465.0,6.2,True,통과,,,,NPS 적용일(하한),6.2,통과
102,13040,셀렉트스타 주식회사,주식회사,김**,벤처투자유형,재확인,2024-09-24,2027-09-23,서울,수도권,강남구,서울특별시 강남구,정보처리S/W,데이터베이스 및 온라인정보 제공업,"데이터베이스,온라인정보 제공,정보,컴퓨터 프로그래밍,시스템 통합,관리,인공지능기술 개발,공급,인문,사회과학,자연과학 연구개발",ICT·AI·SW,AI·데이터,핵심,업종직접,비상장,A(고유),투자유치 후 성장(추정),확실(VC 등 5천만원↑ 투자 요건),미확인,1(핵심·재확인),,2018.0,6.8,,,,,,,,,,,,최종(확정),확정(상호+시군구),셀렉트스타주식회사,1.0,158.0,626870,법인,등록,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,2019-01-01,,158.0,47861520.0,150.0,2.0,337.0,6.7,True,통과,6268701194,1601110500721.0,20181127.0,DART 설립일,6.8,통과
103,14627,주식회사 제로엑스플로우,주식회사,김**,벤처투자유형,재확인,2024-08-08,2027-08-07,서울,수도권,마포구,서울 마포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,인공지능 기반 외국어 학습 서비스,ICT·AI·SW,AI·데이터,핵심,업종직접,비상장,A(고유),투자유치 후 성장(추정),확실(VC 등 5천만원↑ 투자 요건),미확인,1(핵심·재확인),,,,,,,,,,,,,,,최종(확정),확정(상호+시군구),주식회사제로엑스플로우,0.0,11.0,383810,법인,등록,응용 소프트웨어 개발 및 공급업,2018-09-03,,11.0,5822520.0,0.0,2.0,588.0,7.0,True,통과,,,,NPS 적용일(하한),7.0,통과
104,23236,주식회사 투비콘,주식회사,노**,벤처투자유형,재확인,2025-03-30,2028-03-29,서울,수도권,중구,서울 중구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,"컴퓨터시스템　통합　자문　및　구축　서비스업,건강보조식품(건강기능식품) 소매업,전자상거래 소매업,소프트웨어　개발　및　공급업,자료처리업",ICT·AI·SW,IT서비스·SI,핵심,업종직접,비상장,A(고유),투자유치 후 성장(추정),확실(VC 등 5천만원↑ 투자 요건),미확인,1(핵심·재확인),,2013.0,12.0,,,,,,,,,,,,최종(확정),확정(상호+시군구),주식회사 투비콘,0.0,23.0,211889,법인,등록,컴퓨터 시스템 통합 자문 및 구축 서비스업,2014-02-05,,23.0,6894040.0,0.0,2.0,333.0,11.6,True,통과,2118899718,1101115211092.0,20130823.0,DART 설립일,12.0,통과
105,37935,주식회사 아이엔지스토리,주식회사,강**,벤처투자유형,재확인,2026-02-25,2029-02-24,서울,수도권,강남구,서울특별시 강남구,정보처리S/W,데이터베이스 및 온라인정보 제공업,"작심독서실, 픽코파트너스",ICT·AI·SW,데이터·정보서비스,핵심,업종직접,비상장,A(고유),투자유치 후 성장(추정),확실(VC 등 5천만원↑ 투자 요건),미확인,1(핵심·재확인),,2013.0,11.9,,,,,,,,,,,,최종(확정),확정(상호+시군구),(주)아이엔지스토리,0.0,64.0,307814,법인,등록,교육관련 자문 및 평가업,2016-10-01,,64.0,20935880.0,5.0,9.0,363.0,8.9,True,통과,3078142763,1647110039328.0,20131022.0,DART 설립일,11.9,통과
106,37152,주식회사 튜링바이오,주식회사,S**,벤처투자유형,재확인,2026-02-10,2029-02-09,경기,수도권,성남시,경기 성남시,정보처리S/W,응용 소프트웨어 개발 및 공급업,우울증 디지털치료기기,ICT·AI·SW,디지털헬스,핵심,업종직접,비상장,A(고유),투자유치 후 성장(추정),확실(VC 등 5천만원↑ 투자 요건),미확인,1(핵심·재확인),,,,,,,,,,,,,,,최종(확정),확정(상호+시군구),주식회사튜링바이오,0.0,17.0,344870,법인,등록,응용 소프트웨어 개발 및 공급업,2020-06-02,,17.0,6065940.0,0.0,2.0,396.0,5.2,True,통과,,,,NPS 적용일(하한),5.2,통과
107,23609,주식회사 보미쌤,주식회사,박**,벤처투자유형,재확인,2025-05-18,2028-05-17,서울,수도권,강남구,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,디지털 헬스케어 플랫폼,ICT·AI·SW,디지털헬스,핵심,업종직접,비상장,A(고유),투자유치 후 성장(추정),확실(VC 등 5천만원↑ 투자 요건),미확인,1(핵심·재확인),,,,,,,,,,,,,,,최종(확정),확정(상호+시군구),주식회사 보미쌤,0.0,10.0,188870,법인,등록,응용 소프트웨어 개발 및 공급업,2021-03-30,,10.0,2181440.0,0.0,0.0,242.0,4.4,True,통과,,,,NPS 적용일(하한),4.4,통과
108,34791,주식회사 파라메타,주식회사,김**,벤처투자유형,재확인,2025-11-22,2028-11-21,서울,수도권,서초구,서울특별시 서초구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,기업용 블록체인 플랫폼 구축 및 솔루션,ICT·AI·SW,시스템SW·인프라,핵심,업종직접,비상장,A(고유),투자유치 후 성장(추정),확실(VC 등 5천만원↑ 투자 요건),미확인,1(핵심·재확인),,,,,,,,,,,,,,,최종(확정),확정(상호+시군구),주식회사 파라메타,0.0,45.0,647810,법인,등록,응용 소프트웨어 개발 및 공급업,2016-07-01,,45.0,21034780.0,0.0,1.0,519.0,9.2,True,통과,,,,NPS 적용일(하한),9.2,통과
109,19264,주식회사 크립토랩,주식회사,천**,벤처투자유형,재확인,2025-02-09,2028-02-08,서울,수도권,관악구,서울 관악구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급,ICT·AI·SW,시스템SW·인프라,핵심,업종직접,비상장,A(고유),투자유치 후 성장(추정),확실(VC 등 5천만원↑ 투자 요건),미확인,1(핵심·재확인),,,,,,,,,,,,,,,최종(확정),확정(상호+시군구),주식회사크립토랩(CryptoLabInc.),0.0,56.0,625870,법인,등록,응용 소프트웨어 개발 및 공급업,2018-06-01,,56.0,21490180.0,2.0,4.0,426.0,7.2,True,통과,,,,NPS 적용일(하한),7.2,통과
