company_id,feature_year,period_end,company_age,age_basis,company_age_estimated,founded_year,venture_type,venture_renewal,industry,sub_industry,industry_code,region,macro_region,id_confidence,has_dart,growth_stage_proxy
78,2021,2021-12-31,6.7,DART 설립일,0,2015,연구개발유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,인천,수도권,A,1,R&D 중심(추정)
78,2022,2022-12-31,7.7,DART 설립일,0,2015,연구개발유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,인천,수도권,A,1,R&D 중심(추정)
78,2023,2023-12-31,8.7,DART 설립일,0,2015,연구개발유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,인천,수도권,A,1,R&D 중심(추정)
78,2024,2024-12-31,9.7,DART 설립일,0,2015,연구개발유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,인천,수도권,A,1,R&D 중심(추정)
101,2021,2021-12-31,2.52,NPS 적용일(하한),1,2019,벤처투자유형,재확인,ICT·AI·SW,AI·데이터,58222.0,인천,수도권,B,0,투자유치 후 성장(추정)
101,2022,2022-12-31,3.52,NPS 적용일(하한),1,2019,벤처투자유형,재확인,ICT·AI·SW,AI·데이터,58222.0,인천,수도권,B,0,투자유치 후 성장(추정)
101,2023,2023-12-31,4.52,NPS 적용일(하한),1,2019,벤처투자유형,재확인,ICT·AI·SW,AI·데이터,58222.0,인천,수도권,B,0,투자유치 후 성장(추정)
101,2024,2024-12-31,5.52,NPS 적용일(하한),1,2019,벤처투자유형,재확인,ICT·AI·SW,AI·데이터,58222.0,인천,수도권,B,0,투자유치 후 성장(추정)
102,2021,2021-12-31,3.09,DART 설립일,0,2018,벤처투자유형,재확인,ICT·AI·SW,AI·데이터,63991.0,서울,수도권,A,1,투자유치 후 성장(추정)
102,2022,2022-12-31,4.09,DART 설립일,0,2018,벤처투자유형,재확인,ICT·AI·SW,AI·데이터,63991.0,서울,수도권,A,1,투자유치 후 성장(추정)
102,2023,2023-12-31,5.09,DART 설립일,0,2018,벤처투자유형,재확인,ICT·AI·SW,AI·데이터,63991.0,서울,수도권,A,1,투자유치 후 성장(추정)
102,2024,2024-12-31,6.09,DART 설립일,0,2018,벤처투자유형,재확인,ICT·AI·SW,AI·데이터,63991.0,서울,수도권,A,1,투자유치 후 성장(추정)
103,2021,2021-12-31,3.33,NPS 적용일(하한),1,2018,벤처투자유형,재확인,ICT·AI·SW,AI·데이터,58222.0,서울,수도권,B,0,투자유치 후 성장(추정)
103,2022,2022-12-31,4.33,NPS 적용일(하한),1,2018,벤처투자유형,재확인,ICT·AI·SW,AI·데이터,58222.0,서울,수도권,B,0,투자유치 후 성장(추정)
103,2023,2023-12-31,5.33,NPS 적용일(하한),1,2018,벤처투자유형,재확인,ICT·AI·SW,AI·데이터,58222.0,서울,수도권,B,0,투자유치 후 성장(추정)
103,2024,2024-12-31,6.33,NPS 적용일(하한),1,2018,벤처투자유형,재확인,ICT·AI·SW,AI·데이터,58222.0,서울,수도권,B,0,투자유치 후 성장(추정)
104,2021,2021-12-31,8.36,DART 설립일,0,2013,벤처투자유형,재확인,ICT·AI·SW,IT서비스·SI,62021.0,서울,수도권,A,1,투자유치 후 성장(추정)
104,2022,2022-12-31,9.36,DART 설립일,0,2013,벤처투자유형,재확인,ICT·AI·SW,IT서비스·SI,62021.0,서울,수도권,A,1,투자유치 후 성장(추정)
104,2023,2023-12-31,10.35,DART 설립일,0,2013,벤처투자유형,재확인,ICT·AI·SW,IT서비스·SI,62021.0,서울,수도권,A,1,투자유치 후 성장(추정)
104,2024,2024-12-31,11.36,DART 설립일,0,2013,벤처투자유형,재확인,ICT·AI·SW,IT서비스·SI,62021.0,서울,수도권,A,1,투자유치 후 성장(추정)
105,2021,2021-12-31,8.19,DART 설립일,0,2013,벤처투자유형,재확인,ICT·AI·SW,데이터·정보서비스,63991.0,서울,수도권,A,1,투자유치 후 성장(추정)
105,2022,2022-12-31,9.19,DART 설립일,0,2013,벤처투자유형,재확인,ICT·AI·SW,데이터·정보서비스,63991.0,서울,수도권,A,1,투자유치 후 성장(추정)
105,2023,2023-12-31,10.19,DART 설립일,0,2013,벤처투자유형,재확인,ICT·AI·SW,데이터·정보서비스,63991.0,서울,수도권,A,1,투자유치 후 성장(추정)
105,2024,2024-12-31,11.19,DART 설립일,0,2013,벤처투자유형,재확인,ICT·AI·SW,데이터·정보서비스,63991.0,서울,수도권,A,1,투자유치 후 성장(추정)
106,2021,2021-12-31,1.58,NPS 적용일(하한),1,2020,벤처투자유형,재확인,ICT·AI·SW,디지털헬스,58222.0,경기,수도권,B,0,투자유치 후 성장(추정)
106,2022,2022-12-31,2.58,NPS 적용일(하한),1,2020,벤처투자유형,재확인,ICT·AI·SW,디지털헬스,58222.0,경기,수도권,B,0,투자유치 후 성장(추정)
106,2023,2023-12-31,3.58,NPS 적용일(하한),1,2020,벤처투자유형,재확인,ICT·AI·SW,디지털헬스,58222.0,경기,수도권,B,0,투자유치 후 성장(추정)
106,2024,2024-12-31,4.58,NPS 적용일(하한),1,2020,벤처투자유형,재확인,ICT·AI·SW,디지털헬스,58222.0,경기,수도권,B,0,투자유치 후 성장(추정)
107,2021,2021-12-31,0.76,NPS 적용일(하한),1,2021,벤처투자유형,재확인,ICT·AI·SW,디지털헬스,58222.0,서울,수도권,B,0,투자유치 후 성장(추정)
107,2022,2022-12-31,1.75,NPS 적용일(하한),1,2021,벤처투자유형,재확인,ICT·AI·SW,디지털헬스,58222.0,서울,수도권,B,0,투자유치 후 성장(추정)
107,2023,2023-12-31,2.75,NPS 적용일(하한),1,2021,벤처투자유형,재확인,ICT·AI·SW,디지털헬스,58222.0,서울,수도권,B,0,투자유치 후 성장(추정)
107,2024,2024-12-31,3.76,NPS 적용일(하한),1,2021,벤처투자유형,재확인,ICT·AI·SW,디지털헬스,58222.0,서울,수도권,B,0,투자유치 후 성장(추정)
108,2021,2021-12-31,5.5,NPS 적용일(하한),1,2016,벤처투자유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,서울,수도권,B,0,투자유치 후 성장(추정)
108,2022,2022-12-31,6.5,NPS 적용일(하한),1,2016,벤처투자유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,서울,수도권,B,0,투자유치 후 성장(추정)
108,2023,2023-12-31,7.5,NPS 적용일(하한),1,2016,벤처투자유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,서울,수도권,B,0,투자유치 후 성장(추정)
108,2024,2024-12-31,8.5,NPS 적용일(하한),1,2016,벤처투자유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,서울,수도권,B,0,투자유치 후 성장(추정)
109,2021,2021-12-31,3.58,NPS 적용일(하한),1,2018,벤처투자유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,서울,수도권,B,0,투자유치 후 성장(추정)
109,2022,2022-12-31,4.58,NPS 적용일(하한),1,2018,벤처투자유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,서울,수도권,B,0,투자유치 후 성장(추정)
109,2023,2023-12-31,5.58,NPS 적용일(하한),1,2018,벤처투자유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,서울,수도권,B,0,투자유치 후 성장(추정)
109,2024,2024-12-31,6.58,NPS 적용일(하한),1,2018,벤처투자유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,서울,수도권,B,0,투자유치 후 성장(추정)
110,2021,2021-12-31,6.33,DART 설립일,0,2015,벤처투자유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,서울,수도권,A,1,투자유치 후 성장(추정)
110,2022,2022-12-31,7.33,DART 설립일,0,2015,벤처투자유형,재확인,ICT·AI·SW,시스템SW·인프라,58221.0,서울,수도권,A,1,투자유치 후 성장(추정)
