company_id,growth_event_12m_count,positive_event_12m_count,negative_event_12m_count,high_intensity_event_12m_count,investment_event_24m_count,contract_event_12m_count,technology_rnd_event_12m_count,product_launch_event_12m_count,global_expansion_event_12m_count,recent_growth_event_days,event_type_diversity_12m,positive_negative_balance_12m,valid_news_count_24m,news_observability_flag
78,43,22,0,1,0,1,1,11,0,53.0,5,22,182,1
101,83,40,0,3,30,0,3,4,0,10.0,6,40,188,1
102,30,9,0,0,0,0,0,0,0,2.0,3,9,89,1
103,2,2,0,0,0,1,0,0,0,140.0,2,2,7,1
104,5,3,0,0,0,0,0,0,0,215.0,2,3,21,1
105,8,0,0,0,0,0,0,0,0,56.0,1,0,20,1
106,1,0,0,0,0,0,0,0,0,294.0,1,0,15,1
107,4,3,0,0,0,0,0,0,0,3.0,3,3,9,1
108,31,3,0,0,0,0,0,0,0,81.0,2,3,136,1
109,46,28,0,3,0,0,6,7,0,16.0,5,28,76,1
110,3,3,0,0,1,0,0,2,0,147.0,2,3,10,1
111,0,0,0,0,0,0,0,0,0,563.0,0,0,2,1
112,29,29,0,25,27,0,0,0,1,18.0,3,29,85,1
113,8,2,0,2,0,0,3,0,0,15.0,3,2,56,1
114,30,25,0,9,26,0,0,1,0,108.0,4,25,158,1
115,0,0,0,0,0,0,0,0,0,,0,0,0,0
116,2,0,0,0,0,0,0,0,0,75.0,1,0,2,1
117,153,71,0,7,1,0,82,0,1,6.0,7,71,202,1
118,0,0,0,0,0,0,0,0,0,,0,0,1,1
119,5,4,0,1,0,0,0,3,0,30.0,3,4,20,1
120,0,0,0,0,0,0,0,0,0,,0,0,0,0
121,1,1,0,0,0,0,0,0,0,210.0,1,1,6,1
122,5,3,0,0,0,0,0,2,0,25.0,3,3,29,1
123,8,7,0,6,0,7,0,0,0,25.0,2,7,92,1
124,0,0,0,0,0,0,0,0,0,,0,0,0,0
125,40,18,0,18,5,0,0,8,0,20.0,6,18,226,1
126,1,1,0,0,0,0,0,0,0,339.0,1,1,7,1
127,3,3,0,0,0,0,0,0,0,243.0,1,3,6,1
128,0,0,0,0,0,0,0,0,0,,0,0,0,0
129,22,4,0,0,0,0,4,0,0,245.0,2,4,26,1
130,0,0,0,0,0,0,0,0,0,,0,0,0,0
131,0,0,0,0,0,0,0,0,0,,0,0,0,0
132,0,0,0,0,0,0,0,0,0,,0,0,1,1
133,0,0,0,0,0,0,0,0,0,,0,0,0,0
134,1,0,0,0,0,0,0,0,0,88.0,1,0,1,1
135,0,0,0,0,0,0,0,0,0,,0,0,0,0
136,1,0,0,0,0,0,0,0,0,173.0,1,0,3,1
138,0,0,0,0,0,0,0,0,0,,0,0,1,1
139,0,0,0,0,0,0,0,0,0,,0,0,0,0
140,3,0,0,1,0,0,1,0,0,109.0,3,0,70,1
141,0,0,0,0,0,0,0,0,0,,0,0,0,0
142,1,0,0,0,0,0,0,0,0,20.0,1,0,6,1
143,0,0,0,0,0,0,0,0,0,560.0,0,0,7,1
