company_id,feature_year,period_end,patent_period_end,has_patent,patent_coverage,patent_count_total,registered_count,registered_ratio,patent_first_year,patent_latest_application_date,mature_application_count,patent_momentum,patent_count_3y,patent_count_1y,patent_per_year,registered_ratio_mature,unique_ipc_count,new_ipc_count_1y,joint_application_ratio,new_patent_activity,patent_per_year_age_estimated
78,2021,2021-12-31,2021-12-31,1,1,6,0,0.0,2018.0,2018-02-09,6,0.0,0,0,0.8955864323661626,0.0,3,0,0.0,0,0
78,2022,2022-12-31,2022-12-31,1,1,6,0,0.0,2018.0,2018-02-09,6,,0,0,0.7793385490753911,0.0,3,0,0.0,0,0
78,2023,2023-12-31,2023-12-31,1,1,6,6,1.0,2018.0,2018-02-09,6,,0,0,0.6898016997167139,1.0,3,0,0.0,0,0
78,2024,2024-12-31,2024-12-31,1,1,12,6,0.5,2018.0,2024-11-27,6,,6,6,1.237087214225233,1.0,7,4,0.0,1,0
101,2021,2021-12-31,2021-12-31,1,1,16,2,0.125,2019.0,2021-12-17,0,1.3636363636363638,16,5,6.352173913043479,,12,0,0.0,0,1
101,2022,2022-12-31,2022-12-31,1,1,25,4,0.16,2019.0,2022-11-09,4,1.6875,21,9,7.106031128404669,0.5,13,1,0.0,0,1
101,2023,2023-12-31,2023-12-31,1,1,32,7,0.21875,2019.0,2023-12-28,11,1.0,21,7,7.083636363636364,0.5454545454545454,15,2,0.0,0,1
101,2024,2024-12-31,2024-12-31,1,1,39,9,0.2307692307692307,2019.0,2024-07-18,16,1.0,23,7,7.065848214285714,0.5625,17,2,0.0,0,1
102,2021,2021-12-31,2021-12-31,1,1,19,15,0.7894736842105263,2019.0,2021-10-15,0,2.181818181818182,19,8,6.141371681415929,,5,1,0.0,0,0
102,2022,2022-12-31,2022-12-31,1,1,23,19,0.8260869565217391,2019.0,2022-10-28,8,0.6315789473684211,15,4,5.61923076923077,1.0,5,0,0.0,0,0
102,2023,2023-12-31,2023-12-31,1,1,29,22,0.7586206896551724,2019.0,2023-12-19,11,1.2,18,6,5.694758064516129,1.0,7,2,0.0,0,0
102,2024,2024-12-31,2024-12-31,1,1,41,28,0.6829268292682927,2019.0,2024-11-19,19,2.0,22,12,6.7274258760107815,1.0,7,0,0.0,0,0
103,2021,2021-12-31,2021-12-31,1,1,5,2,0.4,2017.0,2021-08-24,3,1.0,2,1,1.5030864197530864,0.6666666666666666,4,0,0.0,0,1
103,2022,2022-12-31,2022-12-31,1,1,5,3,0.6,2017.0,2021-08-24,3,0.0,2,0,1.1558544303797469,0.6666666666666666,4,0,0.0,0,1
103,2023,2023-12-31,2023-12-31,1,1,6,3,0.5,2017.0,2023-10-11,4,1.5,2,1,1.1267352185089974,0.5,4,0,0.0,0,1
103,2024,2024-12-31,2024-12-31,1,1,6,3,0.5,2017.0,2023-10-11,5,0.0,1,0,0.9482907832107312,0.6,4,0,0.0,0,1
104,2021,2021-12-31,2021-12-31,1,1,19,1,0.0526315789473684,2014.0,2021-11-16,2,,17,17,2.273836828309306,0.5,5,2,0.0,1,0
104,2022,2022-12-31,2022-12-31,1,1,20,1,0.05,2014.0,2022-01-21,2,0.1764705882352941,18,1,2.13784021071115,0.5,5,0,0.0,0,0
104,2023,2023-12-31,2023-12-31,1,1,20,1,0.05,2014.0,2022-01-21,2,0.0,18,0,1.9315177154944476,0.5,5,0,0.0,0,0
104,2024,2024-12-31,2024-12-31,1,1,20,2,0.1,2014.0,2022-01-21,19,0.0,1,0,1.761089681774349,0.1052631578947368,5,0,0.0,0,0
105,2021,2021-12-31,2021-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,0
105,2022,2022-12-31,2022-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,0
105,2023,2023-12-31,2023-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,0
105,2024,2024-12-31,2024-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,0
106,2021,2021-12-31,2021-12-31,1,1,1,0,0.0,2021.0,2021-10-14,0,,1,1,0.6330155979202773,,3,3,0.0,1,1
106,2022,2022-12-31,2022-12-31,1,1,7,0,0.0,2021.0,2022-10-17,0,18.0,7,6,2.714171974522293,,10,7,0.0,0,1
106,2023,2023-12-31,2023-12-31,1,1,9,0,0.0,2021.0,2023-06-01,0,0.8571428571428571,9,2,2.5151109410864576,,10,0,0.1111111111111111,0,1
106,2024,2024-12-31,2024-12-31,1,1,10,1,0.1,2021.0,2024-11-26,1,0.3333333333333333,9,1,2.18320382546324,0.0,10,0,0.1,0,1
107,2021,2021-12-31,2021-12-31,1,1,1,0,0.0,2021.0,2021-07-15,0,,1,1,1.0,,4,4,0.0,1,1
107,2022,2022-12-31,2022-12-31,1,1,1,0,0.0,2021.0,2021-07-15,0,0.0,1,0,0.5698127925117005,,4,0,0.0,0,1
107,2023,2023-12-31,2023-12-31,1,1,1,0,0.0,2021.0,2021-07-15,0,0.0,1,0,0.3630715705765407,,4,0,0.0,0,1
107,2024,2024-12-31,2024-12-31,1,1,1,0,0.0,2021.0,2021-07-15,1,0.0,0,0,0.2662172011661807,0.0,4,0,0.0,0,1
108,2021,2021-12-31,2021-12-31,1,1,19,15,0.7894736842105263,2017.0,2021-11-08,5,1.0,14,4,3.4543305126928816,0.8,5,0,0.0526315789473684,0,1
108,2022,2022-12-31,2022-12-31,1,1,20,16,0.8,2017.0,2022-10-07,9,0.2142857142857142,11,1,3.0770850884582983,1.0,5,0,0.05,0,1
108,2023,2023-12-31,2023-12-31,1,1,25,17,0.68,2017.0,2023-09-27,15,1.3636363636363638,10,5,3.333789704271632,1.0,5,0,0.04,0,1
108,2024,2024-12-31,2024-12-31,1,1,28,17,0.6071428571428571,2017.0,2024-12-23,19,0.8999999999999999,9,3,3.293719806763285,0.8947368421052632,5,0,0.0714285714285714,0,1
109,2021,2021-12-31,2021-12-31,1,1,23,12,0.5217391304347826,2018.0,2021-08-20,6,0.8333333333333334,17,5,6.417685255920549,0.8333333333333334,5,2,0.4782608695652174,0,1
109,2022,2022-12-31,2022-12-31,1,1,49,21,0.4285714285714285,2018.0,2022-12-30,12,4.588235294117647,37,26,10.6913082437276,0.9166666666666666,6,1,0.2857142857142857,0,1
109,2023,2023-12-31,2023-12-31,1,1,66,24,0.3636363636363636,2018.0,2023-12-26,18,1.3783783783783785,48,17,11.82270720941638,1.0,9,3,0.2575757575757575,0,1
109,2024,2024-12-31,2024-12-31,1,1,95,26,0.2736842105263158,2018.0,2024-12-16,23,1.8125,72,29,14.427754677754676,1.0,10,1,0.2526315789473684,0,1
110,2021,2021-12-31,2021-12-31,1,1,1,0,0.0,2018.0,2018-08-08,1,0.0,0,0,0.1579118028534371,0.0,1,0,0.0,0,0
110,2022,2022-12-31,2022-12-31,1,1,1,0,0.0,2018.0,2018-08-08,1,,0,0,0.1363890963405526,0.0,1,0,0.0,0,0
110,2023,2023-12-31,2023-12-31,1,1,1,0,0.0,2018.0,2018-08-08,1,,0,0,0.1200295760762405,0.0,1,0,0.0,0,0
110,2024,2024-12-31,2024-12-31,1,1,1,0,0.0,2018.0,2018-08-08,1,,0,0,0.1071428571428571,0.0,1,0,0.0,0,0
111,2021,2021-12-31,2021-12-31,1,1,1,0,0.0,2021.0,2021-03-26,0,,1,1,0.2979200652528548,,1,1,0.0,1,1
111,2022,2022-12-31,2022-12-31,1,1,3,0,0.0,2021.0,2022-12-29,0,6.0,3,2,0.6887177875549968,,6,5,0.0,0,1
111,2023,2023-12-31,2023-12-31,1,1,3,0,0.0,2021.0,2022-12-29,0,0.0,3,0,0.5601993865030674,,6,0,0.0,0,1
111,2024,2024-12-31,2024-12-31,1,1,4,1,0.25,2021.0,2024-12-03,1,1.0,3,1,0.6291989664082688,0.0,7,1,0.0,0,1
112,2021,2021-12-31,2021-12-31,1,1,20,1,0.05,2020.0,2021-12-21,0,2.4545454545454546,20,9,6.174978867286559,,9,1,0.0,0,0
112,2022,2022-12-31,2022-12-31,1,1,48,14,0.2916666666666667,2020.0,2022-12-07,0,4.2,48,28,11.325581395348838,,11,2,0.0208333333333333,0,0
112,2023,2023-12-31,2023-12-31,1,1,55,34,0.6181818181818182,2020.0,2023-11-24,11,0.4375,44,7,10.501176163094616,0.6363636363636364,11,0,0.0181818181818181,0,0
112,2024,2024-12-31,2024-12-31,1,1,60,41,0.6833333333333333,2020.0,2024-10-28,20,0.3409090909090909,40,5,9.616059675296182,0.85,11,0,0.0166666666666666,0,0
113,2021,2021-12-31,2021-12-31,1,1,7,4,0.5714285714285714,2018.0,2021-11-19,1,7.5,6,5,1.0145833333333334,1.0,9,6,0.7142857142857143,0,0
113,2022,2022-12-31,2022-12-31,1,1,12,5,0.4166666666666667,2018.0,2022-11-23,2,2.5,10,5,1.5192374350086657,1.0,9,0,0.4166666666666667,0,0
113,2023,2023-12-31,2023-12-31,1,1,18,10,0.5555555555555556,2018.0,2023-11-16,2,1.7999999999999998,16,6,2.022923076923077,1.0,9,0,0.3333333333333333,0,0
113,2024,2024-12-31,2024-12-31,1,1,19,11,0.5789473684210527,2018.0,2024-09-24,7,0.1875,12,1,1.919178650442478,1.0,9,0,0.3157894736842105,0,0
114,2021,2021-12-31,2021-12-31,1,1,2,0,0.0,2021.0,2021-12-30,0,,2,2,2.0,,3,3,0.0,1,1
114,2022,2022-12-31,2022-12-31,1,1,3,0,0.0,2021.0,2022-11-15,0,1.5,3,1,2.2546296296296298,,4,1,0.0,0,1
114,2023,2023-12-31,2023-12-31,1,1,10,2,0.2,2021.0,2023-12-06,0,7.0,10,7,4.292009400705053,,7,3,0.0,0,1
114,2024,2024-12-31,2024-12-31,1,1,10,4,0.4,2021.0,2023-12-06,2,0.0,8,0,3.0012325390304024,0.5,7,0,0.0,0,1
115,2021,2021-12-31,2021-12-31,1,1,34,25,0.7352941176470589,2016.0,2021-12-13,12,1.3043478260869563,22,10,5.45628295254833,1.0,7,1,0.0294117647058823,0,0
115,2022,2022-12-31,2022-12-31,1,1,38,30,0.7894736842105263,2016.0,2022-06-28,17,0.5454545454545455,21,4,5.255395683453238,1.0,9,2,0.0526315789473684,0,0
115,2023,2023-12-31,2023-12-31,1,1,43,32,0.7441860465116279,2016.0,2023-11-23,24,0.7142857142857143,19,5,5.224800399201596,0.9166666666666666,9,0,0.0465116279069767,0,0
115,2024,2024-12-31,2024-12-31,1,1,51,36,0.7058823529411765,2016.0,2024-10-30,34,1.2631578947368425,17,8,5.524243772241993,0.8823529411764706,9,0,0.0392156862745098,0,0
116,2021,2021-12-31,2021-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,1
116,2022,2022-12-31,2022-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,1
116,2023,2023-12-31,2023-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,1
116,2024,2024-12-31,2024-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,1
117,2021,2021-12-31,2021-12-31,1,1,4,0,0.0,2021.0,2021-12-16,0,,4,4,2.735955056179776,,4,4,0.0,1,0
117,2022,2022-12-31,2022-12-31,1,1,5,0,0.0,2021.0,2022-07-12,0,0.75,5,1,2.0314238042269186,,4,0,0.0,0,0
117,2023,2023-12-31,2023-12-31,1,1,5,1,0.2,2021.0,2022-07-12,0,0.0,5,0,1.4448180379746836,,4,0,0.0,0,0
117,2024,2024-12-31,2024-12-31,1,1,7,3,0.4285714285714285,2021.0,2024-07-16,4,1.2,3,2,1.568558282208589,0.75,5,1,0.0,0,0
118,2021,2021-12-31,2021-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,1
118,2022,2022-12-31,2022-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,1
118,2023,2023-12-31,2023-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,1
118,2024,2024-12-31,2024-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,1
119,2021,2021-12-31,2021-12-31,0,1,0,0,,,,0,,0,0,0.0,,0,0,,0,1
